Inclination_ref,Orientation_ref,M7,M8
5,130,0.024671524563822583,-0.10860903656755318
5,130,0.024671524563822583,-0.10849718380074828
5,130,0.024671524563822583,-0.10878480520110372
5,130,0.024671524563822583,-0.10870491036767166
5,130,0.024671524563822583,-0.10856109966749393
5,130,0.024671524563822583,-0.10873686830104448
5,130,0.024671524563822583,-0.10867295243429882
5,130,0.024671524563822583,-0.10856109966749393
5,130,0.024671524563822583,-0.10857707863418034
5,130,0.024671524563822583,-0.10860903656755318
5,130,0.024671524563822583,-0.10854512070080752
5,130,0.024671524563822583,-0.10868893140098525
5,130,0.024671524563822583,-0.10857707863418034
5,130,0.024671524563822583,-0.10860903656755318
5,130,0.024671524563822583,-0.10872088933435807
5,130,0.024671524563822583,-0.10878480520110372
5,130,0.02465554559713617,-0.1085131627674347
5,130,0.02465554559713617,-0.10872088933435807
5,130,0.02465554559713617,-0.10870491036767166
5,130,0.02465554559713617,-0.1085131627674347
5,130,0.02465554559713617,-0.10841728896731621
5,130,0.02465554559713617,-0.10870491036767166
5,130,0.02465554559713617,-0.10872088933435807
5,130,0.02465554559713617,-0.10856109966749393
5,130,0.02465554559713617,-0.10846522586737545
5,130,0.02465554559713617,-0.1085291417341211
5,130,0.02465554559713617,-0.10867295243429882
5,130,0.02465554559713617,-0.10870491036767166
5,130,0.02465554559713617,-0.10848120483406186
5,130,0.02465554559713617,-0.10857707863418034
5,130,0.024639566630449757,-0.10872088933435807
5,130,0.024639566630449757,-0.1085291417341211
5,130,0.024639566630449757,-0.10856109966749393
5,130,0.024639566630449757,-0.10873686830104448
5,130,0.024639566630449757,-0.10857707863418034
5,130,0.024639566630449757,-0.10854512070080752
5,130,0.024639566630449757,-0.10878480520110372
5,130,0.024639566630449757,-0.10881676313447655
5,130,0.024639566630449757,-0.1085291417341211
5,130,0.024639566630449757,-0.10870491036767166
5,140,0.024639566630449757,-0.108640994500926
5,140,0.024719461463881823,-0.10830543620051132
5,140,0.02475141939725465,-0.1076982354664276
5,140,0.025086977697669335,-0.10713897163240312
5,140,0.028059065501342264,-0.10573282256399873
5,140,0.031015174338328778,-0.1037034937948242
5,140,0.033971283175315295,-0.10172210192570892
5,140,0.03707120271247953,-0.09835053995487565
5,140,0.0403309119165079,-0.09624131635226905
5,140,0.04242415655242808,-0.09437177724995867
5,140,0.04453338015503468,-0.09274192264794448
5,140,0.045859634390007,-0.09181514258013249
5,140,0.04694620412468313,-0.09106413114587104
5,140,0.047857005225808706,-0.09085640457894767
5,140,0.048272458359655455,-0.09092032044569333
5,140,0.04840029009314677,-0.09104815217918463
5,140,0.04849616389326525,-0.09116000494598953
5,140,0.04851214285995166,-0.09119196287936236
5,140,0.04852812182663807,-0.09135175254622649
5,140,0.04854410079332449,-0.09130381564616726
5,140,0.04854410079332449,-0.09130381564616726
5,140,0.04854410079332449,-0.09120794184604877
5,140,0.04854410079332449,-0.09111206804593029
5,140,0.04854410079332449,-0.09103217321249822
5,140,0.04854410079332449,-0.0910002152791254
5,140,0.04854410079332449,-0.09098423631243899
5,140,0.04854410079332449,-0.09096825734575256
5,140,0.0485600797600109,-0.09098423631243899
5,140,0.0485600797600109,-0.0911280470126167
5,140,0.0485600797600109,-0.0911280470126167
5,140,0.0485600797600109,-0.0911280470126167
5,140,0.0485600797600109,-0.09117598391267595
5,140,0.0485600797600109,-0.09117598391267595
5,140,0.0485600797600109,-0.09111206804593029
5,140,0.0485600797600109,-0.0911280470126167
5,140,0.0485600797600109,-0.09109608907924388
5,140,0.0485600797600109,-0.09108011011255747
5,140,0.0485600797600109,-0.09108011011255747
5,140,0.0485600797600109,-0.09117598391267595
5,140,0.0485600797600109,-0.09125587874610801
5,140,0.0485600797600109,-0.09119196287936236
5,140,0.04854410079332449,-0.09119196287936236
5,140,0.04854410079332449,-0.09120794184604877
5,140,0.04852812182663807,-0.0911280470126167
5,140,0.04852812182663807,-0.09109608907924388
5,140,0.04852812182663807,-0.09116000494598953
5,140,0.04852812182663807,-0.09109608907924388
5,140,0.04854410079332449,-0.09111206804593029
5,140,0.04852812182663807,-0.09111206804593029
5,140,0.04854410079332449,-0.09103217321249822
5,140,0.04852812182663807,-0.09116000494598953
5,140,0.04852812182663807,-0.09114402597930311
5,140,0.04852812182663807,-0.09119196287936236
5,140,0.04852812182663807,-0.09119196287936236
5,140,0.04852812182663807,-0.09119196287936236
5,140,0.04852812182663807,-0.09116000494598953
5,140,0.04852812182663807,-0.09114402597930311
5,140,0.04852812182663807,-0.09114402597930311
5,140,0.04852812182663807,-0.09111206804593029
5,140,0.04852812182663807,-0.09111206804593029
5,140,0.04852812182663807,-0.09111206804593029
5,140,0.04852812182663807,-0.09119196287936236
5,140,0.04851214285995166,-0.09114402597930311
5,140,0.04851214285995166,-0.09116000494598953
5,140,0.04851214285995166,-0.09116000494598953
5,140,0.04851214285995166,-0.09116000494598953
5,140,0.04851214285995166,-0.09114402597930311
5,140,0.04851214285995166,-0.09108011011255747
5,140,0.04851214285995166,-0.09108011011255747
5,140,0.04851214285995166,-0.09108011011255747
5,140,0.04851214285995166,-0.09106413114587104
5,140,0.04851214285995166,-0.09111206804593029
5,140,0.04851214285995166,-0.09111206804593029
5,140,0.04851214285995166,-0.09111206804593029
5,140,0.04851214285995166,-0.09116000494598953
5,140,0.04851214285995166,-0.09114402597930311
5,140,0.04851214285995166,-0.09122392081273518
5,140,0.04851214285995166,-0.09114402597930311
5,140,0.04851214285995166,-0.09120794184604877
5,140,0.04851214285995166,-0.09120794184604877
5,140,0.04851214285995166,-0.0911280470126167
5,140,0.04851214285995166,-0.09122392081273518
5,140,0.04851214285995166,-0.09109608907924388
